datetime,user,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-06-11_16-42,llaplace,,,REDCap,0,s2_r1,Tracker update error,"Duplicate columns were found across Redcaps: welcomees_s2_r1_e1_complete in /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/redcap/Thriveiqsparents2r1_DATA_2025-06-11_1629.csv, /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/redcap/Thrivebbsparents2r1_DATA_2025-06-11_1629.csv; Exiting."
2025-06-11_16-41,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/digi/sub-3000177/sub-3000177_s1_r1_e1_scan5.zip.gpg does not match expected identifier format
2025-06-11_16-41,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/digi/sub-3000177/sub-3000177_s1_r1_e1_scan1.zip.gpg does not match expected identifier format
2025-06-11_16-40,llaplace,sub-3000013_all_eeg_s3_r1_e1,3000013.0,eeg,0,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000013/s3_r1/eeg/, folder is not present)"
2025-06-11_16-41,llaplace,sub-3000013_all_eeg_s3_r1_e1,3000013.0,eeg,0,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/eeg/sub-3000013/, folder exists but no identifier or sub-3000013_all_eeg_s3_r1_e1_no-data.txt was found)"
2025-06-11_16-40,llaplace,sub-3000041_all_audacity_s3_r1_e1,3000041.0,audacity,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000041/s3_r1/audacity/, folder is not present)"
2025-06-11_16-41,llaplace,sub-3000041_all_audacity_s3_r1_e1,3000041.0,audacity,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/audacity/sub-3000041/, folder exists but no identifier or sub-3000041_all_audacity_s3_r1_e1_no-data.txt was found)"
2025-06-11_16-40,llaplace,sub-3000054_all_digi_s3_r1_e1,3000054.0,digi,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000054/s3_r1/digi/, folder is not present)"
2025-06-11_16-41,llaplace,sub-3000054_all_digi_s3_r1_e1,3000054.0,digi,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/digi/sub-3000054/, folder exists but no identifier or sub-3000054_all_digi_s3_r1_e1_no-data.txt was found)"
2025-06-11_16-40,llaplace,sub-3000054_all_zoom_s3_r1_e1,3000054.0,zoom,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000054/s3_r1/zoom/, folder is not present)"
