datetime,user,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-10-24_17-13,llaplace,sub-3000003_all_zoom_s2_r1_e1,3000003,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000003/s2_r1/zoom/, folder is not present)"
2025-10-24_17-13,llaplace,sub-3000004_all_zoom_s2_r1_e1,3000004,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000004/s2_r1/zoom/, folder is not present)"
2025-10-24_17-13,llaplace,sub-3000005_all_zoom_s1_r1_e1,3000005,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000005/s1_r1/zoom/, folder is not present)"
2025-10-24_17-13,llaplace,sub-3000010_all_zoom_s1_r1_e1,3000010,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000010/s1_r1/zoom/, folder is not present)"
2025-10-24_17-13,llaplace,sub-3000020_all_zoom_s1_r1_e1,3000020,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000020/s1_r1/zoom/, folder is not present)"
2025-10-24_17-13,llaplace,sub-3000021_all_zoom_s1_r1_e1,3000021,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000021/s1_r1/zoom/, folder is not present)"
2025-10-24_17-13,llaplace,sub-3000047_all_zoom_s1_r1_e1,3000047,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000047/s1_r1/zoom/, folder is not present)"
2025-10-24_17-13,llaplace,sub-3000055_all_zoom_s1_r1_e1,3000055,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000055/s1_r1/zoom/, folder is not present)"
2025-10-24_17-13,llaplace,sub-3000056_all_zoom_s1_r1_e1,3000056,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000056/s1_r1/zoom/, folder is not present)"
2025-10-24_17-13,llaplace,sub-3000066_all_zoom_s1_r1_e1,3000066,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000066/s1_r1/zoom/, folder is not present)"
2025-10-24_17-13,llaplace,sub-3000181_all_zoom_s1_r1_e1,3000181,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000181/s1_r1/zoom/, folder is not present)"
2025-10-24_17-13,llaplace,sub-3000247_arrow-alert-v1-1_psychopy_s2_r1_e1,3000247,psychopy,0,s2_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000247/s2_r1/psychopy/
2025-10-24_17-13,llaplace,sub-3000247_arrow-alert-v1-2_psychopy_s2_r1_e1,3000247,psychopy,0,s2_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000247/s2_r1/psychopy/
