datetime,user,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-06-27_14-03,llaplace,,,REDCap,0,s3_r1,Tracker update error,"Could not find bbsparent in all_rc_dfs, skipping"
2025-06-27_14-00,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/digi/sub-3000177/sub-3000177_s1_r1_e1_scan5.zip.gpg does not match expected identifier format
2025-06-27_14-00,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/digi/sub-3000177/sub-3000177_s1_r1_e1_scan1.zip.gpg does not match expected identifier format
2025-06-27_13-58,llaplace,sub-3000013_all_eeg_s3_r1_e1,3000013.0,eeg,0,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000013/s3_r1/eeg/, folder is not present)"
2025-06-27_13-58,llaplace,sub-3000041_all_audacity_s3_r1_e1,3000041.0,audacity,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000041/s3_r1/audacity/, folder is not present)"
2025-06-27_13-58,llaplace,sub-3000054_all_digi_s3_r1_e1,3000054.0,digi,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000054/s3_r1/digi/, folder is not present)"
2025-06-27_13-59,llaplace,sub-3000054_all_digi_s3_r1_e1,3000054.0,digi,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/digi/sub-3000054/, folder exists but no identifier or sub-3000054_all_digi_s3_r1_e1_no-data.txt was found)"
2025-06-27_13-58,llaplace,sub-3000054_all_zoom_s3_r1_e1,3000054.0,zoom,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000054/s3_r1/zoom/, folder is not present)"
2025-06-27_13-59,llaplace,sub-3000054_all_zoom_s3_r1_e1,3000054.0,zoom,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/zoom/sub-3000054/, folder exists but no identifier or sub-3000054_all_zoom_s3_r1_e1_no-data.txt was found)"
2025-06-27_13-58,llaplace,sub-3000062_all_eeg_s3_r1_e1,3000062.0,eeg,0,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000062/s3_r1/eeg/, folder is not present)"
2025-06-27_13-59,llaplace,sub-3000062_all_eeg_s3_r1_e1,3000062.0,eeg,0,s3_r1,Naming error,"File name sub-3000062_all_eeg_s3_r1_e1_social-task.eeg contains additional information (social-task), but deviation.txt is missing"
2025-06-27_13-59,llaplace,sub-3000062_all_eeg_s3_r1_e1,3000062.0,eeg,0,s3_r1,Issue file,Found issue.txt in /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/eeg/sub-3000062
2025-06-27_13-59,llaplace,sub-3000062_all_eeg_s3_r1_e1,3000062.0,eeg,0,s3_r1,Naming error,"File name sub-3000062_all_eeg_s3_r1_e1_social-task.vmrk contains additional information (social-task), but deviation.txt is missing"
2025-06-27_13-59,llaplace,sub-3000062_all_eeg_s3_r1_e1,3000062.0,eeg,0,s3_r1,Naming error,"File name sub-3000062_all_eeg_s3_r1_e1_flanker-only.vhdr contains additional information (flanker-only), but deviation.txt is missing"
2025-06-27_13-59,llaplace,sub-3000062_all_eeg_s3_r1_e1,3000062.0,eeg,0,s3_r1,Naming error,"File name sub-3000062_all_eeg_s3_r1_e1_flanker-only.vmrk contains additional information (flanker-only), but deviation.txt is missing"
2025-06-27_13-59,llaplace,sub-3000062_all_eeg_s3_r1_e1,3000062.0,eeg,0,s3_r1,Naming error,"File name sub-3000062_all_eeg_s3_r1_e1_social-task.vhdr contains additional information (social-task), but deviation.txt is missing"
2025-06-27_13-59,llaplace,sub-3000062_all_eeg_s3_r1_e1,3000062.0,eeg,0,s3_r1,Naming error,"File name sub-3000062_all_eeg_s3_r1_e1_flanker-only.eeg contains additional information (flanker-only), but deviation.txt is missing"
2025-06-27_13-59,llaplace,sub-3000062_all_eeg_s3_r1_e1,3000062.0,eeg,0,s3_r1,Missing file,Expected file sub-3000062_all_eeg_s3_r1_e1.eeg not found
2025-06-27_13-59,llaplace,sub-3000062_all_eeg_s3_r1_e1,3000062.0,eeg,0,s3_r1,Missing file,Expected file sub-3000062_all_eeg_s3_r1_e1.vhdr not found
2025-06-27_13-59,llaplace,sub-3000062_all_eeg_s3_r1_e1,3000062.0,eeg,0,s3_r1,Missing file,Expected file sub-3000062_all_eeg_s3_r1_e1.vmrk not found
2025-06-27_13-59,llaplace,sub-3000062_all_eeg_s3_r1_e1,3000062.0,eeg,0,s3_r1,Unexpected file,Unexpected file sub-3000062_all_eeg_s3_r1_e1_social-task.eeg found
2025-06-27_13-59,llaplace,sub-3000062_all_eeg_s3_r1_e1,3000062.0,eeg,0,s3_r1,Unexpected file,Unexpected file issue.txt found
2025-06-27_13-59,llaplace,sub-3000062_all_eeg_s3_r1_e1,3000062.0,eeg,0,s3_r1,Unexpected file,Unexpected file sub-3000062_all_eeg_s3_r1_e1_social-task.vmrk found
2025-06-27_13-59,llaplace,sub-3000062_all_eeg_s3_r1_e1,3000062.0,eeg,0,s3_r1,Unexpected file,Unexpected file sub-3000062_all_eeg_s3_r1_e1_flanker-only.vhdr found
2025-06-27_13-59,llaplace,sub-3000062_all_eeg_s3_r1_e1,3000062.0,eeg,0,s3_r1,Unexpected file,Unexpected file sub-3000062_all_eeg_s3_r1_e1_flanker-only.vmrk found
2025-06-27_13-59,llaplace,sub-3000062_all_eeg_s3_r1_e1,3000062.0,eeg,0,s3_r1,Unexpected file,Unexpected file sub-3000062_all_eeg_s3_r1_e1_social-task.vhdr found
