datetime,user,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-06-30_17-56,llaplace,sub-3000040_all_audacity_s1_r1_e1,3000040,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000040/s1_r1/audacity/, folder exists but no identifier or sub-3000040_all_audacity_s1_r1_e1_no-data.txt was found)"
2025-06-30_17-56,llaplace,sub-3000054_all_digi_s3_r1_e1,3000054,digi,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000054/s3_r1/digi/, folder is not present)"
2025-06-30_17-57,llaplace,sub-3000054_all_digi_s3_r1_e1,3000054,digi,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/digi/sub-3000054/, folder exists but no identifier or sub-3000054_all_digi_s3_r1_e1_no-data.txt was found)"
2025-06-30_17-56,llaplace,sub-3000054_all_zoom_s3_r1_e1,3000054,zoom,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000054/s3_r1/zoom/, folder is not present)"
2025-06-30_17-57,llaplace,sub-3000074_all_digi_s3_r1_e1,3000074,digi,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/digi/sub-3000074/, folder exists but no identifier or sub-3000074_all_digi_s3_r1_e1_no-data.txt was found)"
2025-06-30_17-57,llaplace,sub-3000081_arrow-alert-v1-1_psychopy_s3_r1_e1,3000081,psychopy,0,s3_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/psychopy/sub-3000081/
2025-06-30_17-57,llaplace,sub-3000081_arrow-alert-v1-2_psychopy_s3_r1_e1,3000081,psychopy,0,s3_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/psychopy/sub-3000081/
2025-06-30_17-56,llaplace,sub-3000177_all_digi_s1_r1_e1,3000177,digi,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000177/s1_r1/digi/, folder is not present)"
2025-06-30_17-57,llaplace,sub-3000216_all_zoom_s2_r1_e1,3000216,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/zoom/sub-3000216/, folder exists but no identifier or sub-3000216_all_zoom_s2_r1_e1_no-data.txt was found)"
2025-06-30_17-57,llaplace,sub-3000220_all_eeg_s2_r1_e1,3000220,eeg,0,s2_r1,Empty file,Found empty file /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/eeg/sub-3000220/sub-3000220_all_eeg_s2_r1_e1.eeg
2025-06-30_17-56,llaplace,sub-3000242_all_audacity_s1_r1_e1,3000242,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000242/s1_r1/audacity/, folder is not present)"
2025-06-30_17-57,llaplace,sub-3000320_all_zoom_s1_r1_e1,3000320,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/zoom/sub-3000320/, folder exists but no identifier or sub-3000320_all_zoom_s1_r1_e1_no-data.txt was found)"
2025-06-30_17-57,llaplace,sub-3000344_all_zoom_s1_r1_e1,3000344,zoom,1,s1_r1,Improper exception files,deviation.txt cannot signify only 1 file; use no-data.txt.
2025-06-30_17-57,llaplace,sub-3000345_all_audacity_s1_r1_e1,3000345,audacity,1,s1_r1,Improper exception files,deviation.txt cannot signify only 1 file; use no-data.txt.
