datetime,user,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-09-17_12-16,llaplace,sub-3000001_all_zoom_s1_r1_e1,3000001,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000001/s1_r1/zoom/, folder is not present)"
2025-09-17_12-17,llaplace,sub-3000001_all_zoom_s1_r1_e1,3000001,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/zoom/sub-3000001/, folder exists but no identifier or sub-3000001_all_zoom_s1_r1_e1_no-data.txt was found)"
2025-09-17_12-16,llaplace,sub-3000002_all_zoom_s1_r1_e1,3000002,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000002/s1_r1/zoom/, folder exists but no identifier or sub-3000002_all_zoom_s1_r1_e1_no-data.txt was found)"
2025-09-17_12-16,llaplace,sub-3000003_all_zoom_s1_r1_e1,3000003,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000003/s1_r1/zoom/, folder exists but no identifier or sub-3000003_all_zoom_s1_r1_e1_no-data.txt was found)"
2025-09-17_12-17,llaplace,sub-3000126_all_digi_s3_r1_e1,3000126,digi,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/digi/sub-3000126/, folder exists but no identifier or sub-3000126_all_digi_s3_r1_e1_no-data.txt was found)"
2025-09-17_12-16,llaplace,sub-3000193_all_audacity_s2_r1_e1,3000193,audacity,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000193/s2_r1/audacity/, folder is not present)"
2025-09-17_12-17,llaplace,sub-3000193_all_audacity_s2_r1_e1,3000193,audacity,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/audacity/sub-3000193/, folder exists but no identifier or sub-3000193_all_audacity_s2_r1_e1_no-data.txt was found)"
2025-09-17_12-17,llaplace,sub-3000247_arrow-alert-v1-1_psychopy_s2_r1_e1,3000247,psychopy,0,s2_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/psychopy/sub-3000247/
2025-09-17_12-17,llaplace,sub-3000247_arrow-alert-v1-2_psychopy_s2_r1_e1,3000247,psychopy,0,s2_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/psychopy/sub-3000247/
2025-09-17_12-17,llaplace,sub-3000255_all_digi_s2_r1_e1,3000255,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/digi/sub-3000255/, folder exists but no identifier or sub-3000255_all_digi_s2_r1_e1_no-data.txt was found)"
