datetime,user,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-10-31_17-17,llaplace,sub-3000002_all_zoom_s1_r1_e1,3000002,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000002/s1_r1/zoom/, folder exists but no identifier or sub-3000002_all_zoom_s1_r1_e1_no-data.txt was found)"
2025-10-31_17-17,llaplace,sub-3000003_all_zoom_s1_r1_e1,3000003,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000003/s1_r1/zoom/, folder exists but no identifier or sub-3000003_all_zoom_s1_r1_e1_no-data.txt was found)"
2025-10-31_17-18,llaplace,sub-3000122_all_digi_s3_r1_e1,3000122,digi,1,s3_r1,Issue file,Found issue.txt in /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/digi/sub-3000122
2025-10-31_17-18,llaplace,sub-3000122_all_digi_s3_r1_e1,3000122,digi,1,s3_r1,Unexpected file,Unexpected file issue.txt found
2025-10-31_17-17,llaplace,sub-3000247_arrow-alert-v1-1_psychopy_s2_r1_e1,3000247,psychopy,0,s2_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000247/s2_r1/psychopy/
2025-10-31_17-17,llaplace,sub-3000247_arrow-alert-v1-2_psychopy_s2_r1_e1,3000247,psychopy,0,s2_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000247/s2_r1/psychopy/
