datetime,user,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-04-09_16-59,llaplace,Unknown Identifier,,,0,,Naming error,File issue.txt.txt does not match expected identifier format
2025-04-09_16-57,llaplace,sub-3000012_all_zoom_s3_r1_e1,3000012,zoom,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000012/s3_r1/zoom/, folder is not present)"
2025-04-09_16-58,llaplace,sub-3000013_all_eeg_s3_r1_e1,3000013,eeg,0,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/eeg/sub-3000013/, folder exists but no identifier or sub-3000013_all_eeg_s3_r1_e1_no-data.txt was found)"
2025-04-09_16-57,llaplace,sub-3000020_all_audacity_s3_r1_e1,3000020,audacity,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000020/s3_r1/audacity/, folder is not present)"
2025-04-09_16-57,llaplace,sub-3000028_all_audacity_s3_r1_e1,3000028,audacity,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000028/s3_r1/audacity/, folder is not present)"
2025-04-09_16-57,llaplace,sub-3000033_all_eeg_s3_r1_e1,3000033,eeg,0,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000033/s3_r1/eeg/, folder is not present)"
2025-04-09_16-58,llaplace,sub-3000033_all_eeg_s3_r1_e1,3000033,eeg,0,s3_r1,Issue file,Found issue.txt in identifier's directory
2025-04-09_16-58,llaplace,sub-3000033_all_eeg_s3_r1_e1,3000033,eeg,0,s3_r1,Unexpected file,Unexpected file issue.txt found
2025-04-09_16-57,llaplace,sub-3000039_all_audacity_s3_r1_e1,3000039,audacity,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000039/s3_r1/audacity/, folder is not present)"
2025-04-09_16-58,llaplace,sub-3000039_all_audacity_s3_r1_e1,3000039,audacity,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/audacity/sub-3000039/, folder exists but no identifier or sub-3000039_all_audacity_s3_r1_e1_no-data.txt was found)"
