datetime,user,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-08-15_17-26,llaplace,sub-3000013_all_audacity_s2_r1_e1,3000013,audacity,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000013/s2_r1/audacity/, folder exists but no identifier or sub-3000013_all_audacity_s2_r1_e1_no-data.txt was found)"
2025-08-15_17-26,llaplace,sub-3000020_all_audacity_s2_r1_e1,3000020,audacity,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000020/s2_r1/audacity/, folder exists but no identifier or sub-3000020_all_audacity_s2_r1_e1_no-data.txt was found)"
2025-08-15_17-27,llaplace,sub-3000101_all_digi_s3_r1_e1,3000101,digi,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/digi/sub-3000101/, folder exists but no identifier or sub-3000101_all_digi_s3_r1_e1_no-data.txt was found)"
2025-08-15_17-27,llaplace,sub-3000352_all_audacity_s1_r1_e1,3000352,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/audacity/sub-3000352/, folder exists but no identifier or sub-3000352_all_audacity_s1_r1_e1_no-data.txt was found)"
2025-08-15_17-27,llaplace,sub-3000352_all_digi_s1_r1_e1,3000352,digi,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/digi/sub-3000352/, folder exists but no identifier or sub-3000352_all_digi_s1_r1_e1_no-data.txt was found)"
2025-08-15_17-28,llaplace,sub-3000352_all_eeg_s1_r1_e1,3000352,eeg,0,s1_r1,Issue file,Found issue.txt in /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/eeg/sub-3000352
2025-08-15_17-28,llaplace,sub-3000352_all_eeg_s1_r1_e1,3000352,eeg,0,s1_r1,Unexpected file,Unexpected file issue.txt found
2025-08-15_17-28,llaplace,sub-3000352_all_zoom_s1_r1_e1,3000352,zoom,1,s1_r1,Issue file,Found issue.txt in /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/zoom/sub-3000352
2025-08-15_17-28,llaplace,sub-3000352_all_zoom_s1_r1_e1,3000352,zoom,1,s1_r1,Unexpected file,Unexpected file issue.txt found
2025-08-15_17-27,llaplace,sub-3000361_all_audacity_s1_r1_e1,3000361,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/audacity/sub-3000361/, folder exists but no identifier or sub-3000361_all_audacity_s1_r1_e1_no-data.txt was found)"
2025-08-15_17-28,llaplace,sub-3000361_all_eeg_s1_r1_e1,3000361,eeg,0,s1_r1,Issue file,Found issue.txt in /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/eeg/sub-3000361
2025-08-15_17-28,llaplace,sub-3000361_all_eeg_s1_r1_e1,3000361,eeg,0,s1_r1,Unexpected file,Unexpected file issue.txt found
2025-08-15_17-28,llaplace,sub-3000361_all_zoom_s1_r1_e1,3000361,zoom,1,s1_r1,Issue file,Found issue.txt in /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/zoom/sub-3000361
2025-08-15_17-28,llaplace,sub-3000361_all_zoom_s1_r1_e1,3000361,zoom,1,s1_r1,Unexpected file,Unexpected file issue.txt found
