datetime,user,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-09-16_15-16,llaplace,sub-3000001_all_zoom_s1_r1_e1,3000001,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/zoom/sub-3000001/, folder exists but no identifier or sub-3000001_all_zoom_s1_r1_e1_no-data.txt was found)"
2025-09-16_15-16,llaplace,sub-3000084_all_eeg_s3_r1_e1,3000084,eeg,0,s3_r1,Missing files to process,"First line of deviation file is ""EEG recording stopped due to losing connection during Block 9 of the first condition of the Flanker task (Observed). It was restarted during Block 10, but disconnected again, so it was restarted a second (and final) time before the second condition (Observe Other).
"", should contain ""files to process"""
2025-09-16_15-15,llaplace,sub-3000193_all_audacity_s2_r1_e1,3000193,audacity,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000193/s2_r1/audacity/, folder is not present)"
2025-09-16_15-16,llaplace,sub-3000193_all_audacity_s2_r1_e1,3000193,audacity,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/audacity/sub-3000193/, folder exists but no identifier or sub-3000193_all_audacity_s2_r1_e1_no-data.txt was found)"
2025-09-16_15-16,llaplace,sub-3000239_all_digi_s2_r1_e1,3000239,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/digi/sub-3000239/, folder exists but no identifier or sub-3000239_all_digi_s2_r1_e1_no-data.txt was found)"
2025-09-16_15-16,llaplace,sub-3000239_all_eeg_s2_r1_e1,3000239,eeg,0,s2_r1,Issue file,Found issue.txt in /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/eeg/sub-3000239
2025-09-16_15-16,llaplace,sub-3000239_all_eeg_s2_r1_e1,3000239,eeg,0,s2_r1,Unexpected file,Unexpected file issue.txt found
2025-09-16_15-16,llaplace,sub-3000247_arrow-alert-v1-1_psychopy_s2_r1_e1,3000247,psychopy,0,s2_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/psychopy/sub-3000247/
2025-09-16_15-16,llaplace,sub-3000247_arrow-alert-v1-2_psychopy_s2_r1_e1,3000247,psychopy,0,s2_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/psychopy/sub-3000247/
