datetime,user,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-03-20_18-10,llaplace,sub-3000003_all_digi_s2_r1_e1,3000003,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000003/s2_r1/digi/, folder is not present)"
2025-03-20_18-10,llaplace,sub-3000005_all_zoom_s3_r1_e1,3000005,zoom,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000005/s3_r1/zoom/, folder is not present)"
2025-03-20_18-10,llaplace,sub-3000005_arrow-alert-v1-1_psychopy_s3_r1_e1,3000005,psychopy,0,s3_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000005/s3_r1/psychopy/
2025-03-20_18-10,llaplace,sub-3000005_arrow-alert-v1-2_psychopy_s3_r1_e1,3000005,psychopy,0,s3_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000005/s3_r1/psychopy/
2025-03-20_18-10,llaplace,sub-3000008_arrow-alert-v1-1_psychopy_s1_r1_e1,3000008,psychopy,0,s1_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000008/s1_r1/psychopy/
2025-03-20_18-10,llaplace,sub-3000008_arrow-alert-v1-2_psychopy_s1_r1_e1,3000008,psychopy,0,s1_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000008/s1_r1/psychopy/
2025-03-20_18-10,llaplace,sub-3000010_all_zoom_s3_r1_e1,3000010,zoom,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000010/s3_r1/zoom/, folder is not present)"
2025-03-20_18-10,llaplace,sub-3000012_all_zoom_s3_r1_e1,3000012,zoom,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000012/s3_r1/zoom/, folder is not present)"
2025-03-20_18-10,llaplace,sub-3000014_arrow-alert-v1-1_psychopy_s1_r1_e1,3000014,psychopy,0,s1_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000014/s1_r1/psychopy/
2025-03-20_18-11,llaplace,sub-3000014_arrow-alert-v1-1_psychopy_s1_r1_e1,3000014,psychopy,0,s1_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/psychopy/sub-3000014/
2025-03-20_18-10,llaplace,sub-3000014_arrow-alert-v1-2_psychopy_s1_r1_e1,3000014,psychopy,0,s1_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000014/s1_r1/psychopy/
2025-03-20_18-11,llaplace,sub-3000014_arrow-alert-v1-2_psychopy_s1_r1_e1,3000014,psychopy,0,s1_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/psychopy/sub-3000014/
2025-03-20_18-10,llaplace,sub-3000020_all_audacity_s3_r1_e1,3000020,audacity,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000020/s3_r1/audacity/, folder is not present)"
2025-03-20_18-11,llaplace,sub-3000033_all_eeg_s3_r1_e1,3000033,eeg,0,s3_r1,Issue file,Found issue.txt in identifier's directory
2025-03-20_18-11,llaplace,sub-3000033_all_eeg_s3_r1_e1,3000033,eeg,0,s3_r1,Unexpected file,Unexpected file issue.txt found
2025-03-20_18-10,llaplace,sub-3000056_all_zoom_s2_r1_e1,3000056,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000056/s2_r1/zoom/, folder is not present)"
2025-03-20_18-10,llaplace,sub-3000056_arrow-alert-v1-1_psychopy_s2_r1_e1,3000056,psychopy,0,s2_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000056/s2_r1/psychopy/
2025-03-20_18-10,llaplace,sub-3000056_arrow-alert-v1-2_psychopy_s2_r1_e1,3000056,psychopy,0,s2_r1,Combination variable error,Combination row arrow-alert_psychopy has no variables present in /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000056/s2_r1/psychopy/
