datetime,user,passRaw,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-07-15_18-14,llaplace,1,sub-3000003_all_zoom_s2_r1_e1,3000003,zoom,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000003_all_zoom_s3_r1_e1,3000003,zoom,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000003_arrow-alert-v1-1_psychopy_s1_r1_e1,3000003,psychopy,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000003_arrow-alert-v1-2_psychopy_s2_r1_e1,3000003,psychopy,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000003_arrow-alert-v1-2_psychopy_s3_r1_e1,3000003,psychopy,0,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000004_all_audacity_s1_r1_e1,3000004,audacity,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000004_all_audacity_s2_r1_e1,3000004,audacity,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000004_all_audacity_s3_r1_e1,3000004,audacity,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000004_all_digi_s1_r1_e1,3000004,digi,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000004_all_digi_s2_r1_e1,3000004,digi,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000004_all_digi_s3_r1_e1,3000004,digi,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000004_all_eeg_s1_r1_e1,3000004,eeg,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000004_all_eeg_s2_r1_e1,3000004,eeg,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000004_all_eeg_s3_r1_e1,3000004,eeg,0,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000004_all_zoom_s1_r1_e1,3000004,zoom,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000004_all_zoom_s2_r1_e1,3000004,zoom,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000004_all_zoom_s3_r1_e1,3000004,zoom,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000004_arrow-alert-v1-1_psychopy_s1_r1_e1,3000004,psychopy,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000004_arrow-alert-v1-2_psychopy_s2_r1_e1,3000004,psychopy,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000004_arrow-alert-v1-2_psychopy_s3_r1_e1,3000004,psychopy,0,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000005_all_audacity_s1_r1_e1,3000005,audacity,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000005_all_audacity_s2_r1_e1,3000005,audacity,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000005_all_audacity_s3_r1_e1,3000005,audacity,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000005_all_digi_s1_r1_e1,3000005,digi,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000005_all_digi_s2_r1_e1,3000005,digi,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000005_all_digi_s3_r1_e1,3000005,digi,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000005_all_eeg_s1_r1_e1,3000005,eeg,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000005_all_eeg_s2_r1_e1,3000005,eeg,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000005_all_eeg_s3_r1_e1,3000005,eeg,0,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000005_all_zoom_s1_r1_e1,3000005,zoom,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000005_all_zoom_s2_r1_e1,3000005,zoom,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000005_all_zoom_s3_r1_e1,3000005,zoom,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000005_arrow-alert-v1-1_psychopy_s1_r1_e1,3000005,psychopy,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000005_arrow-alert-v1-2_psychopy_s2_r1_e1,3000005,psychopy,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000005_arrow-alert-v1-2_psychopy_s3_r1_e1,3000005,psychopy,0,s3_r1,,
