datetime,user,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-07-15_14-55,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/eeg/sub-3000335/sub-3000335_all_eeg_s1_r1_e1(recording 2).vhdr does not match expected identifier format
2025-07-15_14-55,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/eeg/sub-3000335/sub-3000335_all_eeg_s1_r1_e1(recording 2).vmrk does not match expected identifier format
2025-07-15_14-55,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/eeg/sub-3000335/sub-3000335_all_eeg_s1_r1_e1(recording 2).eeg does not match expected identifier format
2025-07-15_14-52,llaplace,sub-3000002_all_audacity_s1_r1_e1,3000002,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000002/s1_r1/audacity/, folder exists but no identifier or sub-3000002_all_audacity_s1_r1_e1_no-data.txt was found)"
2025-07-15_14-52,llaplace,sub-3000003_all_audacity_s1_r1_e1,3000003,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000003/s1_r1/audacity/, folder exists but no identifier or sub-3000003_all_audacity_s1_r1_e1_no-data.txt was found)"
2025-07-15_14-52,llaplace,sub-3000004_all_audacity_s1_r1_e1,3000004,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000004/s1_r1/audacity/, folder exists but no identifier or sub-3000004_all_audacity_s1_r1_e1_no-data.txt was found)"
2025-07-15_14-52,llaplace,sub-3000005_all_audacity_s1_r1_e1,3000005,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000005/s1_r1/audacity/, folder exists but no identifier or sub-3000005_all_audacity_s1_r1_e1_no-data.txt was found)"
2025-07-15_14-52,llaplace,sub-3000010_all_audacity_s1_r1_e1,3000010,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000010/s1_r1/audacity/, folder exists but no identifier or sub-3000010_all_audacity_s1_r1_e1_no-data.txt was found)"
2025-07-15_14-52,llaplace,sub-3000013_all_audacity_s1_r1_e1,3000013,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000013/s1_r1/audacity/, folder exists but no identifier or sub-3000013_all_audacity_s1_r1_e1_no-data.txt was found)"
2025-07-15_14-52,llaplace,sub-3000014_all_audacity_s1_r1_e1,3000014,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000014/s1_r1/audacity/, folder exists but no identifier or sub-3000014_all_audacity_s1_r1_e1_no-data.txt was found)"
