datetime,user,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-07-07_14-43,llaplace,sub-3000040_all_audacity_s1_r1_e1,3000040,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000040/s1_r1/audacity/, folder is not present)"
2025-07-07_14-43,llaplace,sub-3000054_all_digi_s3_r1_e1,3000054,digi,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000054/s3_r1/digi/, folder is not present)"
2025-07-07_14-44,llaplace,sub-3000054_all_digi_s3_r1_e1,3000054,digi,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/digi/sub-3000054/, folder exists but no identifier or sub-3000054_all_digi_s3_r1_e1_no-data.txt was found)"
2025-07-07_14-43,llaplace,sub-3000216_all_zoom_s2_r1_e1,3000216,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000216/s2_r1/zoom/, folder is not present)"
2025-07-07_14-44,llaplace,sub-3000216_all_zoom_s2_r1_e1,3000216,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/zoom/sub-3000216/, folder exists but no identifier or sub-3000216_all_zoom_s2_r1_e1_no-data.txt was found)"
2025-07-07_14-43,llaplace,sub-3000345_all_audacity_s1_r1_e1,3000345,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000345/s1_r1/audacity/, folder is not present)"
