datetime,user,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-09-25_14-07,llaplace,sub-3000001_all_zoom_s1_r1_e1,3000001,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000001/s1_r1/zoom/, folder is not present)"
2025-09-25_14-08,llaplace,sub-3000001_all_zoom_s1_r1_e1,3000001,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/zoom/sub-3000001/, folder exists but no identifier or sub-3000001_all_zoom_s1_r1_e1_no-data.txt was found)"
2025-09-25_14-07,llaplace,sub-3000003_all_zoom_s2_r1_e1,3000003,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000003/s2_r1/zoom/, folder exists but no identifier or sub-3000003_all_zoom_s2_r1_e1_no-data.txt was found)"
2025-09-25_14-08,llaplace,sub-3000003_all_zoom_s2_r1_e1,3000003,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/zoom/sub-3000003/, folder exists but no identifier or sub-3000003_all_zoom_s2_r1_e1_no-data.txt was found)"
2025-09-25_14-07,llaplace,sub-3000004_all_zoom_s1_r1_e1,3000004,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000004/s1_r1/zoom/, folder exists but no identifier or sub-3000004_all_zoom_s1_r1_e1_no-data.txt was found)"
2025-09-25_14-08,llaplace,sub-3000004_all_zoom_s1_r1_e1,3000004,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/zoom/sub-3000004/, folder exists but no identifier or sub-3000004_all_zoom_s1_r1_e1_no-data.txt was found)"
2025-09-25_14-07,llaplace,sub-3000004_all_zoom_s2_r1_e1,3000004,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000004/s2_r1/zoom/, folder exists but no identifier or sub-3000004_all_zoom_s2_r1_e1_no-data.txt was found)"
2025-09-25_14-08,llaplace,sub-3000004_all_zoom_s2_r1_e1,3000004,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/zoom/sub-3000004/, folder exists but no identifier or sub-3000004_all_zoom_s2_r1_e1_no-data.txt was found)"
2025-09-25_14-07,llaplace,sub-3000005_all_zoom_s1_r1_e1,3000005,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000005/s1_r1/zoom/, folder exists but no identifier or sub-3000005_all_zoom_s1_r1_e1_no-data.txt was found)"
2025-09-25_14-08,llaplace,sub-3000005_all_zoom_s1_r1_e1,3000005,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/zoom/sub-3000005/, folder exists but no identifier or sub-3000005_all_zoom_s1_r1_e1_no-data.txt was found)"
