datetime,user,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-05-12_15-08,llaplace,sub-3000013_all_eeg_s3_r1_e1,3000013,eeg,0,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000013/s3_r1/eeg/, folder is not present)"
2025-05-12_15-09,llaplace,sub-3000013_all_eeg_s3_r1_e1,3000013,eeg,0,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/eeg/sub-3000013/, folder exists but no identifier or sub-3000013_all_eeg_s3_r1_e1_no-data.txt was found)"
2025-05-12_15-08,llaplace,sub-3000028_all_audacity_s3_r1_e1,3000028,audacity,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000028/s3_r1/audacity/, folder exists but no identifier or sub-3000028_all_audacity_s3_r1_e1_no-data.txt was found)"
2025-05-12_15-08,llaplace,sub-3000039_all_audacity_s3_r1_e1,3000039,audacity,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000039/s3_r1/audacity/, folder exists but no identifier or sub-3000039_all_audacity_s3_r1_e1_no-data.txt was found)"
2025-05-12_15-08,llaplace,sub-3000039_all_eeg_s3_r1_e1,3000039,eeg,0,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000039/s3_r1/eeg/, folder is not present)"
2025-05-12_15-08,llaplace,sub-3000041_all_audacity_s3_r1_e1,3000041,audacity,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000041/s3_r1/audacity/, folder is not present)"
2025-05-12_15-09,llaplace,sub-3000041_all_audacity_s3_r1_e1,3000041,audacity,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s3_r1/audacity/sub-3000041/, folder exists but no identifier or sub-3000041_all_audacity_s3_r1_e1_no-data.txt was found)"
2025-05-12_15-08,llaplace,sub-3000056_all_digi_s2_r1_e1,3000056,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000056/s2_r1/digi/, folder is not present)"
2025-05-12_15-09,llaplace,sub-3000056_all_digi_s2_r1_e1,3000056,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/digi/sub-3000056/, folder exists but no identifier or sub-3000056_all_digi_s2_r1_e1_no-data.txt was found)"
2025-05-12_15-08,llaplace,sub-3000118_all_digi_s2_r1_e1,3000118,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000118/s2_r1/digi/, folder is not present)"
2025-05-12_15-09,llaplace,sub-3000118_all_digi_s2_r1_e1,3000118,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/digi/sub-3000118/, folder exists but no identifier or sub-3000118_all_digi_s2_r1_e1_no-data.txt was found)"
2025-05-12_15-08,llaplace,sub-3000121_all_audacity_s1_r1_e1,3000121,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000121/s1_r1/audacity/, folder is not present)"
2025-05-12_15-10,llaplace,sub-3000121_all_audacity_s1_r1_e1,3000121,audacity,1,s1_r1,Improper exception files,deviation.txt cannot signify only 1 file; use no-data.txt.
2025-05-12_15-08,llaplace,sub-3000141_all_audacity_s2_r1_e1,3000141,audacity,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000141/s2_r1/audacity/, folder is not present)"
2025-05-12_15-09,llaplace,sub-3000141_all_audacity_s2_r1_e1,3000141,audacity,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/audacity/sub-3000141/, folder exists but no identifier or sub-3000141_all_audacity_s2_r1_e1_no-data.txt was found)"
2025-05-12_15-08,llaplace,sub-3000143_all_audacity_s1_r1_e1,3000143,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000143/s1_r1/audacity/, folder is not present)"
2025-05-12_15-10,llaplace,sub-3000143_all_audacity_s1_r1_e1,3000143,audacity,1,s1_r1,Improper exception files,deviation.txt cannot signify only 1 file; use no-data.txt.
2025-05-12_15-08,llaplace,sub-3000146_all_zoom_s2_r1_e1,3000146,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000146/s2_r1/zoom/, folder is not present)"
2025-05-12_15-09,llaplace,sub-3000146_all_zoom_s2_r1_e1,3000146,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/zoom/sub-3000146/, folder exists but no identifier or sub-3000146_all_zoom_s2_r1_e1_no-data.txt was found)"
2025-05-12_15-08,llaplace,sub-3000152_all_audacity_s2_r1_e1,3000152,audacity,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000152/s2_r1/audacity/, folder exists but no identifier or sub-3000152_all_audacity_s2_r1_e1_no-data.txt was found)"
2025-05-12_15-08,llaplace,sub-3000152_all_digi_s2_r1_e1,3000152,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000152/s2_r1/digi/, folder exists but no identifier or sub-3000152_all_digi_s2_r1_e1_no-data.txt was found)"
2025-05-12_15-08,llaplace,sub-3000152_all_eeg_s2_r1_e1,3000152,eeg,0,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000152/s2_r1/eeg/, folder exists but no identifier or sub-3000152_all_eeg_s2_r1_e1_no-data.txt was found)"
2025-05-12_15-08,llaplace,sub-3000155_all_audacity_s2_r1_e1,3000155,audacity,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000155/s2_r1/audacity/, folder is not present)"
2025-05-12_15-09,llaplace,sub-3000155_all_audacity_s2_r1_e1,3000155,audacity,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/audacity/sub-3000155/, folder exists but no identifier or sub-3000155_all_audacity_s2_r1_e1_no-data.txt was found)"
2025-05-12_15-08,llaplace,sub-3000157_all_zoom_s2_r1_e1,3000157,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000157/s2_r1/zoom/, folder is not present)"
2025-05-12_15-08,llaplace,sub-3000162_all_audacity_s2_r1_e1,3000162,audacity,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000162/s2_r1/audacity/, folder is not present)"
2025-05-12_15-09,llaplace,sub-3000162_all_audacity_s2_r1_e1,3000162,audacity,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/audacity/sub-3000162/, folder exists but no identifier or sub-3000162_all_audacity_s2_r1_e1_no-data.txt was found)"
2025-05-12_15-09,llaplace,sub-3000167_all_audacity_s2_r1_e1,3000167,audacity,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/audacity/sub-3000167/, folder exists but no identifier or sub-3000167_all_audacity_s2_r1_e1_no-data.txt was found)"
2025-05-12_15-09,llaplace,sub-3000167_all_digi_s2_r1_e1,3000167,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/digi/sub-3000167/, folder exists but no identifier or sub-3000167_all_digi_s2_r1_e1_no-data.txt was found)"
2025-05-12_15-08,llaplace,sub-3000173_all_digi_s2_r1_e1,3000173,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000173/s2_r1/digi/, folder is not present)"
2025-05-12_15-08,llaplace,sub-3000173_all_zoom_s2_r1_e1,3000173,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000173/s2_r1/zoom/, folder is not present)"
2025-05-12_15-08,llaplace,sub-3000177_all_digi_s1_r1_e1,3000177,digi,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000177/s1_r1/digi/, folder is not present)"
2025-05-12_15-10,llaplace,sub-3000177_all_digi_s1_r1_e1,3000177,digi,1,s1_r1,Improper exception files,deviation.txt cannot signify only 1 file; use no-data.txt.
2025-05-12_15-08,llaplace,sub-3000178_all_digi_s2_r1_e1,3000178,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000178/s2_r1/digi/, folder exists but no identifier or sub-3000178_all_digi_s2_r1_e1_no-data.txt was found)"
2025-05-12_15-08,llaplace,sub-3000178_all_zoom_s2_r1_e1,3000178,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000178/s2_r1/zoom/, folder is not present)"
2025-05-12_15-09,llaplace,sub-3000178_all_zoom_s2_r1_e1,3000178,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s2_r1/zoom/sub-3000178/, folder exists but no identifier or sub-3000178_all_zoom_s2_r1_e1_no-data.txt was found)"
2025-05-12_15-08,llaplace,sub-3000180_all_digi_s2_r1_e1,3000180,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000180/s2_r1/digi/, folder is not present)"
2025-05-12_15-08,llaplace,sub-3000215_all_eeg_s1_r1_e1,3000215,eeg,0,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/thrive-dataset/sourcedata/checked/sub-3000215/s1_r1/eeg/, folder exists but no identifier or sub-3000215_all_eeg_s1_r1_e1_no-data.txt was found)"
