name,date,sub,session,dtype,fname,status,notes
Lilly,2025-04-10,3000030,s3_r1,eeg,"sub-3000030_all_eeg_s3_r1_e1.vhdr, sub-3000030_all_eeg_s3_r1_e1.eeg, sub-3000030_all_eeg_s3_r1_e1.vmrk",PASSED,
Lilly,2025-04-10,3000039,s3_r1,eeg,"sub-3000039_all_eeg_s3_r1_e1.vhdr, sub-3000039_all_eeg_s3_r1_e1.eeg, sub-3000039_all_eeg_s3_r1_e1.vmrk",FAILED,NO/NOT ENOUGH EVENTS
Lilly,2025-04-10,3000044,s3_r1,eeg,"sub-3000044_all_eeg_s3_r1_e1.vhdr, sub-3000044_all_eeg_s3_r1_e1.eeg, sub-3000044_all_eeg_s3_r1_e1.vmrk",PASSED,
