name,date,sub,session,dtype,fname,status,notes
Felix,2025-02-07,3000001,s1_r1,psychopy,"sub-3000001_arrow-alert-v1-1_psychopy_s1_r1_e1.csv,sub-3000001_arrow-alert-v1-1_psychopy_s1_r1_e1.log,sub-3000001_arrow-alert-v1-1_psychopy_s1_r1_e1.psydat",PASSED,
Felix,2025-02-07,3000002,s1_r1,psychopy,"sub-3000002_arrow-alert-v1-1_psychopy_s1_r1_e1.csv,sub-3000002_arrow-alert-v1-1_psychopy_s1_r1_e1.log,sub-3000002_arrow-alert-v1-1_psychopy_s1_r1_e1.psydat",PASSED,
Felix,2025-02-07,3000003,s1_r1,psychopy,"sub-3000003_arrow-alert-v1-1_psychopy_s1_r1_e1.csv,sub-3000003_arrow-alert-v1-1_psychopy_s1_r1_e1.log,sub-3000003_arrow-alert-v1-1_psychopy_s1_r1_e1.psydat",PASSED,
Felix,2025-02-07,3000004,s1_r1,psychopy,"sub-3000004_arrow-alert-v1-1_psychopy_s1_r1_e1.csv,sub-3000004_arrow-alert-v1-1_psychopy_s1_r1_e1.log,sub-3000004_arrow-alert-v1-1_psychopy_s1_r1_e1.psydat",PASSED,
Felix,2025-02-07,3000005,s1_r1,psychopy,"sub-3000005_arrow-alert-v1-1_psychopy_s1_r1_e1.csv,sub-3000005_arrow-alert-v1-1_psychopy_s1_r1_e1.log,sub-3000005_arrow-alert-v1-1_psychopy_s1_r1_e1.psydat",PASSED,
Felix,2025-02-07,3000006,s1_r1,psychopy,"sub-3000006_arrow-alert-v1-1_psychopy_s1_r1_e1.csv,sub-3000006_arrow-alert-v1-1_psychopy_s1_r1_e1.log,sub-3000006_arrow-alert-v1-1_psychopy_s1_r1_e1.psydat",PASSED,
Felix,2025-02-07,3000008,s1_r1,psychopy,"sub-3000008_arrow-alert-v1-1_psychopy_s1_r1_e1.csv,sub-3000008_arrow-alert-v1-1_psychopy_s1_r1_e1.log,sub-3000008_arrow-alert-v1-1_psychopy_s1_r1_e1.psydat,sub-3000008_arrow-alert-v1-1_psychopy_s1_r1_e1_practice-only.csv,sub-3000008_arrow-alert-v1-1_psychopy_s1_r1_e1_practice-only.log,sub-3000008_arrow-alert-v1-1_psychopy_s1_r1_e1_practice-only.psydat",PASSED,
Felix,2025-02-07,3000010,s1_r1,psychopy,"sub-3000010_arrow-alert-v1-1_psychopy_s1_r1_e1.csv,sub-3000010_arrow-alert-v1-1_psychopy_s1_r1_e1.log,sub-3000010_arrow-alert-v1-1_psychopy_s1_r1_e1.psydat",PASSED,
Felix,2025-02-07,3000011,s1_r1,psychopy,"sub-3000011_arrow-alert-v1-1_psychopy_s1_r1_e1.csv,sub-3000011_arrow-alert-v1-1_psychopy_s1_r1_e1.log,sub-3000011_arrow-alert-v1-1_psychopy_s1_r1_e1.psydat",PASSED,
Felix,2025-02-07,3000012,s1_r1,psychopy,"sub-3000012_arrow-alert-v1-1_psychopy_s1_r1_e1.csv,sub-3000012_arrow-alert-v1-1_psychopy_s1_r1_e1.log,sub-3000012_arrow-alert-v1-1_psychopy_s1_r1_e1.psydat",PASSED,
Felix,2025-02-07,3000013,s1_r1,psychopy,"sub-3000013_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000013_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000013_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED,
Felix,2025-02-07,3000014,s1_r1,psychopy,"sub-3000014_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000014_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000014_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat,sub-3000014_arrow-alert-v1-2_psychopy_s1_r1_e1_practice-only.csv,sub-3000014_arrow-alert-v1-2_psychopy_s1_r1_e1_practice-only.psydat",PASSED,
Felix,2025-02-07,3000015,s1_r1,psychopy,"sub-3000015_arrow-alert-v1-1_psychopy_s1_r1_e1.csv,sub-3000015_arrow-alert-v1-1_psychopy_s1_r1_e1.log,sub-3000015_arrow-alert-v1-1_psychopy_s1_r1_e1.psydat",PASSED,
Felix,2025-02-07,3000019,s1_r1,psychopy,"sub-3000019_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000019_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000019_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED,
Felix,2025-02-07,3000020,s1_r1,psychopy,"sub-3000020_arrow-alert-v1-1_psychopy_s1_r1_e1.csv,sub-3000020_arrow-alert-v1-1_psychopy_s1_r1_e1.log,sub-3000020_arrow-alert-v1-1_psychopy_s1_r1_e1.psydat",PASSED,
Felix,2025-02-07,3000021,s1_r1,psychopy,"sub-3000021_arrow-alert-v1-1_psychopy_s1_r1_e1.csv,sub-3000021_arrow-alert-v1-1_psychopy_s1_r1_e1.log,sub-3000021_arrow-alert-v1-1_psychopy_s1_r1_e1.psydat",PASSED,
Felix,2025-02-07,3000022,s1_r1,psychopy,"sub-3000022_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000022_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000022_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED,
Felix,2025-02-07,3000023,s1_r1,psychopy,"sub-3000023_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000023_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000023_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED,
Felix,2025-02-07,3000026,s1_r1,psychopy,"sub-3000026_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000026_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000026_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED,
