name,date,sub,session,dtype,fname,status
Lilly,2025-07-23,3000347,s1_r1,psychopy,"sub-3000347_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000347_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000347_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED
Lilly,2025-07-23,3000351,s1_r1,psychopy,"sub-3000351_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000351_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000351_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED
