name,date,sub,session,dtype,fname,status,notes
Lilly,2025-09-25,3000246,s2_r1,eeg,"sub-3000246_all_eeg_s2_r1_e1.vhdr, sub-3000246_all_eeg_s2_r1_e1.eeg, sub-3000246_all_eeg_s2_r1_e1.vmrk",PASSED,
Lilly,2025-09-25,3000255,s2_r1,eeg,"sub-3000255_all_eeg_s2_r1_e1.vhdr, sub-3000255_all_eeg_s2_r1_e1.eeg, sub-3000255_all_eeg_s2_r1_e1.vmrk",PASSED,
Lilly,2025-09-25,3000256,s2_r1,eeg,"sub-3000256_all_eeg_s2_r1_e1_flanker-alone-block-2.vhdr, sub-3000256_all_eeg_s2_r1_e1_flanker-alone-block-3-social-tasks.vhdr, sub-3000256_all_eeg_s2_r1_e1_flanker-observe-other-observed.vhdr, sub-3000256_all_eeg_s2_r1_e1_flanker-alone-block-2.eeg, sub-3000256_all_eeg_s2_r1_e1_flanker-alone-block-3-social-tasks.eeg, sub-3000256_all_eeg_s2_r1_e1_flanker-observe-other-observed.eeg, sub-3000256_all_eeg_s2_r1_e1_flanker-alone-block-2.vmrk, sub-3000256_all_eeg_s2_r1_e1_flanker-alone-block-3-social-tasks.vmrk, sub-3000256_all_eeg_s2_r1_e1_flanker-observe-other-observed.vmrk",FAILED,NO/NOT ENOUGH EVENTS
