name,date,sub,session,dtype,fname,status,notes
Felix,2025-02-07,3000001,s1_r1,eeg,"sub-3000001_all_eeg_s1_r1_e1.vhdr, sub-3000001_all_eeg_s1_r1_e1.eeg, sub-3000001_all_eeg_s1_r1_e1.vmrk",PASSED,
Felix,2025-02-07,3000002,s1_r1,eeg,"sub-3000002_all_eeg_s1_r1_e1.vhdr, sub-3000002_all_eeg_s1_r1_e1.eeg, sub-3000002_all_eeg_s1_r1_e1.vmrk",PASSED,
Felix,2025-02-07,3000003,s1_r1,eeg,"sub-3000003_all_eeg_s1_r1_e1.vhdr, sub-3000003_all_eeg_s1_r1_e1.eeg, sub-3000003_all_eeg_s1_r1_e1.vmrk",PASSED,
Felix,2025-02-07,3000004,s1_r1,eeg,"sub-3000004_all_eeg_s1_r1_e1.vhdr, sub-3000004_all_eeg_s1_r1_e1.eeg, sub-3000004_all_eeg_s1_r1_e1.vmrk",PASSED,
Felix,2025-02-07,3000005,s1_r1,eeg,"sub-3000005_all_eeg_s1_r1_e1.vhdr, sub-3000005_all_eeg_s1_r1_e1.eeg, sub-3000005_all_eeg_s1_r1_e1.vmrk",PASSED,
Felix,2025-02-07,3000006,s1_r1,eeg,"sub-3000006_all_eeg_s1_r1_e1.vhdr, sub-3000006_all_eeg_s1_r1_e1.eeg, sub-3000006_all_eeg_s1_r1_e1.vmrk",PASSED,
Felix,2025-02-07,3000008,s1_r1,eeg,"sub-3000008_all_eeg_s1_r1_e1.vhdr, sub-3000008_all_eeg_s1_r1_e1.eeg, sub-3000008_all_eeg_s1_r1_e1.vmrk",PASSED,
Felix,2025-02-07,3000010,s1_r1,eeg,"sub-3000010_all_eeg_s1_r1_e1.vhdr, sub-3000010_all_eeg_s1_r1_e1.eeg, sub-3000010_all_eeg_s1_r1_e1.vmrk",PASSED,
Felix,2025-02-07,3000011,s1_r1,eeg,"sub-3000011_all_eeg_s1_r1_e1.vhdr, sub-3000011_all_eeg_s1_r1_e1.eeg, sub-3000011_all_eeg_s1_r1_e1.vmrk",PASSED,
Felix,2025-02-07,3000012,s1_r1,eeg,"sub-3000012_all_eeg_s1_r1_e1.vhdr, sub-3000012_all_eeg_s1_r1_e1.eeg, sub-3000012_all_eeg_s1_r1_e1.vmrk",PASSED,
Felix,2025-02-07,3000013,s1_r1,eeg,"sub-3000013_all_eeg_s1_r1_e1_before-speech.vhdr, sub-3000013_all_eeg_s1_r1_e1_speech.vhdr, sub-3000013_all_eeg_s1_r1_e1_before-speech.eeg, sub-3000013_all_eeg_s1_r1_e1_speech.eeg, sub-3000013_all_eeg_s1_r1_e1_before-speech.vmrk, sub-3000013_all_eeg_s1_r1_e1_speech.vmrk",PASSED,
Felix,2025-02-07,3000014,s1_r1,eeg,"sub-3000014_all_eeg_s1_r1_e1.vhdr, sub-3000014_all_eeg_s1_r1_e1.eeg, sub-3000014_all_eeg_s1_r1_e1.vmrk",PASSED,
Felix,2025-02-07,3000015,s1_r1,eeg,"sub-3000015_all_eeg_s1_r1_e1.vhdr, sub-3000015_all_eeg_s1_r1_e1.eeg, sub-3000015_all_eeg_s1_r1_e1.vmrk",PASSED,
Felix,2025-02-07,3000019,s1_r1,eeg,"sub-3000019_all_eeg_s1_r1_e1.vhdr, sub-3000019_all_eeg_s1_r1_e1.eeg, sub-3000019_all_eeg_s1_r1_e1.vmrk",PASSED,
Felix,2025-02-07,3000020,s1_r1,eeg,"sub-3000020_all_eeg_s1_r1_e1.vhdr, sub-3000020_all_eeg_s1_r1_e1.eeg, sub-3000020_all_eeg_s1_r1_e1.vmrk",PASSED,
